18:11:07:10:39,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus, "Using Takayuki's eeCoulomb."
18:11:13:13:19,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus, "Attempting eeCoulomb_original"
18:11:13:13:19,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus, "Attempting eeCoulomb_original"
18:11:14:11:14,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=12 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,|Writing me2j and json formats for the hydrogen basis functions up to Emax=12, Lmax=2|
18:11:15:09:50,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=12 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,|Same as above, but I added in a #pragma omp parallel for|
18:11:22:10:27,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=12 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,omp PARALLEL for
18:11:26:12:38,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=12 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Parallelized the PrecalculateCoulomb.
18:11:28:12:14,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Looking for seg-fault in eeCoulomb.
18:11:28:12:14,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Looking for seg-fault in eeCoulomb.
18:11:28:12:15,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,
18:11:28:12:15,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,
18:11:29:12:22,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added #pragma omp crticical to the final loop in the eeCoulomb operator.
18:11:29:12:22,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added #pragma omp crticical to the final loop in the eeCoulomb operator.
18:11:29:13:32,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,CHanged bounds of integration on lp loop
18:11:29:13:32,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,CHanged bounds of integration on lp loop
18:11:29:15:49,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added precalculation of anti-symm term.
